ID,GPU,Index_cellphones,Index_fpt,Index_tgdd,Comment_count,Price,Rating,Rating_count,Series,Brand,cpu_brand,cpu_code,ram_size,storage_size,displ_size,displ_rate,Battery,OS,P/N,displ_resolution,hdmi,Release_year,Surface,Weight,backlit_keyboard,lan,length,ram_upgradable,screen_technology,sd_card,storage_extra_slot,storage_type,headphone_jack,thickness,type_c,usb_a,width,Availabe_in,GPU_brand
0,nvidia geforce rtx 3050 ti,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-74nu.html,0,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-74nu-i7-nhqd9sv001?src=osp#top-tskt,906,28626333.33,,0,nitro 5 gaming an515 57 74nu nh.qd9sv.001,acer,intel,11800h,8,512,15.6,144,57,windows 10,nh.qd9sv.001,1920 x 1080,yes,2021,plastic,2.2,yes,yes,363.4,yes,ips,no,yes,ssd,yes,23.9,yes,yes,255,3,nvidia
1,nvidia geforce mx450,https://cellphones.com.vn/laptop-msi-modern-14-14-b11sbu-668vn.html,1,https://www.thegioididong.com/laptop/msi-gaming-modern-14-b11sbu-i5-669vn?src=osp#top-tskt,400,21259666.67,,0,gaming modern 14 b11sbu 669vn,msi,intel,1155g7,8,512,14,60,39,windows 10,669vn,1920 x 1080,yes,2021,metal,1.3,yes,no,319,yes,ips,yes,no,ssd,yes,16.9,yes,yes,219,3,nvidia
2,intel uhd graphics,,2,https://www.thegioididong.com/laptop/dell-inspiron-15-3511-i3-p112f001abl?src=osp#top-tskt,322,15294500,3.7,18,inspiron 15 3511 p112f001abl,dell,intel,1115g4,4,256,15.6,60,41,windows 10,p112f001abl,1920 x 1080,yes,2021,plastic,1.7,no,no,358.5,yes,va,yes,yes,ssd,yes,18.9,no,yes,235.5,2,intel
3,intel uhd graphics,,4,,378,14999000,5,4,ideapad slim 3 15itl6 82h80040vn,lenovo,intel,1115g4,8,512,15.6,60,,windows 10,82h80040vn,1920 x 1080,yes,2021,plastic,1.65,yes,yes,359,yes,led,yes,yes,ssd,yes,19.9,yes,yes,237.7,1,intel
4,intel iris xe graphics,,6,,1244,18799000,5,5,ideapad slim 5 15itl05 82fg00r0vn,lenovo,intel,1135g7,16,512,15.6,60,45,windows 10,82fg00r0vn,1920 x 1080,yes,2021,"metal, plastic",1.66,yes,yes,356.67,yes,ips,yes,yes,ssd,yes,17.9,yes,yes,233.13,1,intel
5,amd radeon rx vega 7,,8,,558,18999000,,0,inspiron n5515 p106f003asl,dell,intel,5500u,8,256,15.6,60,65,windows 10,p106f003asl,1920 x 1080,yes,2021,aluminum,1.75,yes,yes,356,yes,va,yes,yes,ssd,yes,17.9,yes,yes,228,1,amd
6,amd radeon graphics,,9,,177,19999000,3,2,thinkbook 14 g3 acl 21a2004bvn,lenovo,amd,5700u,8,512,14,60,45,windows 10,21a2004bvn,1920 x 1080,yes,2021,aluminum,1.4,yes,yes,323,yes,ips,yes,yes,ssd,yes,17.9,yes,yes,217.5,1,amd
7,nvidia geforce rtx 3050,,13,,32,30069000,,0,gaming katana gf66 11ud 697vn,msi,intel,11800h,8,512,15.6,144,,windows 10,697vn,1920 x 1080,yes,2021,metal,2.1,yes,yes,359,yes,ips,no,yes,ssd,yes,24.9,yes,yes,,1,nvidia
8,intel uhd graphics 600,,14,,65,10999000,,0,inspiron n3502 nk,dell,intel,n4020,4,128,15.6,60,45,windows 10,nk,1366 x 768,yes,2020,plastic,1.83,yes,yes,363.96,yes,,yes,yes,ssd,yes,19.9,yes,yes,249,1,intel
9,intel uhd graphics 600,,16,,268,10999000,,0,inspiron n3510 2021,dell,intel,n4020,4,128,15.6,60,65,windows 10,2021,1366 x 768,yes,,plastic,1.65,yes,yes,358.5,yes,led,yes,yes,ssd,yes,0.41,yes,yes,235,1,intel
