sd_card,P/N,ram_upgradable,GPU,displ_rate,backlit_keyboard,Weight,thickness,width,length,screen_technology,Battery,OS,displ_resolution,Surface,displ_size,Price,comment_count,Rating_count,Rating,ram_size,cpu_code,cpu_brand,storage_size,storage_type,storage_extra_slot,Release_year,Brand,Series,usb_a,type_c,lan,headphone_jack,hdmi,url,1star,2star,3star,4star,5star
yes,MQD32,,Intel HD 6000,60,,1.35,17,227,325,,54,macOS,1440 x 900,,13.3,20.000.000,306,0,,8,,Intel,128,SSD,,2017,Apple,MacBook Air,yes,no,no,no,no,https://cellphones.com.vn/apple-macbook-air-13-inch-128-gb-mqd32-chinh-hang.html,0,0,0,0,0
no,Y1N1T2,yes,AMD Radeon,60,no,1.83,18,249,363.96,,42,Windows 10,1920 x 1080,,15.6,18.290.000,28,0,,8,3500U,AMD,512,SSD,,,Dell,Inspiron,yes,no,yes,yes,yes,https://cellphones.com.vn/aptop-dell-inspiron-15-3505-y1n1t2.html,0,0,0,0,0
no,,,NVIDIA GeForce MX350,60,,1.53,15.9,223.8,307.5,,56,Windows 10,2160 x 1440,,14,,3,0,,8,10210U,Intel,512,SSD,,,Huawei,Matebook,no,yes,no,yes,yes,https://cellphones.com.vn/huawei-matebook-14.html,0,0,0,0,0
no,,,Intel UHD + NVIDIA GeForce MX250,60,,1.33,14.6,217,304,,56,Windows 10,3000 x 2000,,14,,2,0,,8,10210U,Intel,512,SSD,,,Huawei,Matebook X,yes,yes,no,yes,no,https://cellphones.com.vn/huawei-matebook-x.html,0,0,0,0,0
no,,yes,7 GPU,60,,4.46,11.5,461,547,IPS,,macOS,4480 x 2520,,24,34.500.000,24,0,,8,M1,Apple,256,SSD,,2021,Apple,iMac,yes,no,no,yes,no,https://cellphones.com.vn/imac-2021.html,0,0,0,0,0
no,,yes,7 GPU,60,,4.46,11.5,461,547,IPS,,macOS,4480 x 2520,,24,39.000.000,0,0,,16,M1,Apple,256,SSD,,2021,Apple,iMac,yes,no,no,no,no,https://cellphones.com.vn/imac-2021-16gb.html,0,0,0,0,0
no,,yes,8 GPU,60,,4.46,11.5,461,547,IPS,,macOS,4480 x 2520,,24,,14,0,,8,M1,Apple,256,SSD,,2021,Apple,iMac,yes,no,no,yes,no,https://cellphones.com.vn/imac-2021-8gpu.html,0,0,0,0,0
no,,yes,8 GPU,60,,4.46,11.5,461,547,IPS,,macOS,4480 x 2520,,24,43.000.000,16,0,,16,M1,Apple,256,SSD,,2021,Apple,iMac,yes,no,no,yes,no,https://cellphones.com.vn/imac-2021-8gpu-16gb.html,0,0,0,0,0
no,,yes,8 GPU,60,,4.46,11.5,461,547,IPS,,macOS,4480 x 2520,,24,50.000.000,7,0,,16,M1,Apple,512,SSD,,2021,Apple,iMac,yes,no,no,yes,no,https://cellphones.com.vn/imac-2021-8gpu-16gb-512gb.html,0,0,0,0,0
no,,yes,8 GPU,60,,4.46,11.5,461,547,IPS,,macOS,4480 x 2520,,24,44.400.000,2,1,5.0,8,M1,Apple,512,SSD,,2021,Apple,iMac,yes,no,no,yes,no,https://cellphones.com.vn/imac-2021-8gpu-512gb.html,0,0,0,0,1
