Dung lượng RAM,Wi-Fi,Loại CPU,4star,Tính năng đặc biệt,3star,Ổ cứng,Bluetooth,old_price,Chất liệu tấm nền,Loại card đồ họa,Khe đọc thẻ nhớ,item_name,Hệ điều hành,2star,Công nghệ màn hình,Công nghệ âm thanh,5star,comment_count,Độ phân giải màn hình,Webcam,Kích thước,Loại RAM,Độ phân giải ,Trọng lượng,Màn hình cảm ứng,Cổng giao tiếp,1star,Chất liệu,url,Kích thước màn hình,Đèn bàn phím,Pin,special_price
8GB,Wi-Fi 6: 802.11ax,10th Gen Intel Core i5 processor – 1035G1,0,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Viền màn hình siêu mỏng, Bảo mật vân tay",0,SSD: 256GB,Bluetooth Wireless 5.0,25.990.000,Tấm nền IPS,Intel UHD Graphics,Không,Surface Laptop Go Core i5 / 8GB / 256 GB / 12.4 inch Chính Hãng,Windows 10 Home in S mode,0,"Công nghệ màn hình PixelSense, cảm ứng đa điểm (10 điểm)","Mics Studio trường xa kép, Loa Omnisonic với Dolby® Audio ™",0,76,1536 x 1024 pixels,Camera HD 720p f2.0,278.18 mm x 205.67 mm x 15.69 mm,LPDDR4x,Full HD,"1,110 g",Có,1 cổng USB-C 1 cổng USB-A 1 cổng 3.5 mm headphone jack 1 cổng Surface Connect port,0,Vỏ kim loại,https://cellphones.com.vn/surface-laptop-go-256gb.html,12.4 inches,,,21.590.000
8GB,Wi-Fi 6: 802.11ax,10th Gen Intel Core i5 processor – 1035G1,0,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Viền màn hình siêu mỏng, Bảo mật vân tay",0,SSD: 128GB,Bluetooth Wireless 5.0,23.990.000,Tấm nền IPS,Intel UHD Graphics,Không,Surface Laptop Go Core i5 / 8GB / 128 GB / 12.4 inch Chính Hãng,Windows 10 Home in S mode,0,"Công nghệ màn hình PixelSense, cảm ứng đa điểm","Mics Studio trường xa kép, Loa Omnisonic với Dolby® Audio ™",0,164,1536 x 1024 pixels,"Camera 720p, khẩu độ f2.0",278.18 mm x 205.67 mm x 15.69 mm,LPDDR4x,Full HD,"1,110 g",Có,1 cổng USB-C 1 cổng USB-A 1 cổng 3.5 mm headphone jack 1 cổng Surface Connect port,0,,https://cellphones.com.vn/surface-laptop-go.html,12.4 inches,,Lên đến 13 giờ (Tùy vào nhu cầu sử dụng),19.790.000
8GB,Intel Wi-Fi 6(Gig+)(802.11ax) (2x2),Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,0,"Ổ cứng SSD, Wi-Fi 6",0,512GB SSD M.2 PCIE G3X2 (1 slot),v5.0,25.290.000,Tấm nền OLED/AMOLED,Intel Iris Xe Graphics,Có,Laptop ASUS ZenBook UX325EA-KG363T,Windows 10 Home SL ,0,"60 Hz, 400 nits, Độ phủ màu100% DCI-P3",Harman Kardon,0,74,1920 x 1080 pixels (FullHD),HD Web Camera,30.42 x 20.3 x 1.39 ~ 1.39 cm, LPDDR4X 3200MHz,Full HD,1.14kg,,2x Thunderbolt 4 USB-C (supports display / power delivery) 1x USB 3.2 Gen 1 Type-A (up to 5Gbps) 1x Standard HDMI 2.1,0,Vỏ kim loại,https://cellphones.com.vn/laptop-asus-zenbook-ux325ea-kg363t.html,13.3 inches,Có,4 Cell ,23.590.000
4GB,WiFi 802.11ac,"Intel Core i5-1035G1 ( 1.0 GHz - 3.6 GHz / 6MB / 4 nhân, 8 luồng )",0,Ổ cứng SSD,0,256GB SSD M.2 NVMe,v5.0,13.990.000,Tấm nền IPS,Intel UHD Graphics,,Laptop Acer Aspire 3 A315-56-502X NX.HS5SV.00F,Windows 10 Home SL,0,"15.6"" ( 1920 x 1080 ) Full HD không cảm ứng , VGA webcam",2 Loa,0,187,1080 x 1920 pixels (FullHD),HD Camre,36.34 x 24.75 x 1.99 cm,"DDR4 2400MHz, 1 khe cắm, hỗ trợ tối đa 12GB",Full HD,1.7 kg,Không,"1 x HDMI, 1 x USB 3.1 , 2 x USB 2.0 , LAN 1 Gb/s",0,,https://cellphones.com.vn/laptop-acer-aspire-3-a315.html,15.6 inches,Không,"2 cell 36 Wh, Pin liền",13.790.000
8GB,802.11b/g/n/ac ,Core i5 1135G7 2.4Ghz-8Mb,0,Ổ cứng SSD,0,256 GB PCIe® NVMe™ M.2 SSD,v5.0,19.990.000,,Intel® Iris® Xe Graphics,Có,Laptop HP 15-HP 15 T-DW300 1A3Y3AV,Windows 10 Home SL ,0,,,0,15,1366 x 768 pixels (HD+),HD 720p ,35.84 x 24.21 x 1.98 cm,"8GB (2x4GB) DDR4-2666, 2 khe cắm tối đa 16GB",HD,1.75 kg,Không,1 x multi-format SD media card reader 1 x SuperSpeed USB Type-C® 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate 1 x HDMI 1.4b 1 x RJ-45 1 x AC smart pin 1 x headphone/microphone combo,0,Vỏ nhựa,https://cellphones.com.vn/laptop-hp-15-hp-15-t-dw300-1a3y3av.html,15.6 inches,Không,"3-cell, 41 Wh",17.290.000
8GB,Wi-Fi 5 (2x2),"AMD Ryzen 5 5500U (tối đa 4,0 GHz, 8 MB bộ nhớ đệm L3, 6 lõi, 12 luồng)",0,Ổ cứng SSD,0,256 GB PCIe® NVMe™ M.2 SSD,v4.2,18.990.000,,AMD Radeon™ Graphics,Có,Laptop HP 15 Z-EF2000 2J4V7AV Nhập khẩu chính hãng,Windows 10 Home SL ,0,Màn hình chống loá,2 Loa,0,19,1366 x 768 pixels (HD+),HD 720p ,35.84 x 24.21 x 1.80 cm,"8GB (2x4GB) DDR4-3200Mhz, tối đa 16GB",HD,1.70 kg,Không,1 x SuperSpeed USB Type-C® 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate 1 x HDMI 1.4b 1 x AC smart pin 1 x headphone/microphone combo,0,,https://cellphones.com.vn/laptop-hp-15-z-ef2000-2j4v7av.html,15.6 inches,Không,"3-cell, 41 Wh ",16.990.000
4GB,802.11a/b/g/n/ac (1x1),"Intel® Pentium® Silver N5030 (1.1 GHz base frequency, up to 3.1 GHz)",0,Ổ cứng SSD,0,128 GB SATA M.2 SSD,4.2,11.990.000,,Intel® UHD Graphics 605,,Laptop HP 14-CF2033WM 3V7G4UA,,0,"220 nits, 45% NTSC",2 Loa,0,35,1366 x 768 pixels (HD+),HP True Vision 720p HD camera,32.4 x 22.59 x 1.99 cm,4 GB DDR4-2400 MHz RAM (1 x 4 GB),HD,1.47 kg,Không,1x SuperSpeed USB Type-C® 5Gbps  2x SuperSpeed USB Type-A 5Gbps 1x HDMI 1.4 1x RJ-45  1x AC smart pin  1x headphone/microphone combo,0,,https://cellphones.com.vn/laptop-hp-14-cf2033wm-3v7g4ua-pent.html,14 inches,,"3-cell, 41 Wh Li-ion",10.990.000
16GB,Intel Wi-Fi 6(Gig+)(802.11ax),"AMD Ryzen 7 5800H 3.20GHz up to 4.40GHz, 8 nhân 16 luồng",0,"Ổ cứng SSD, Wi-Fi 6",0,512GB PCIE SSD,v5.0,40.990.000,Tấm nền IPS,NVIDIA® GeForce RTX™ 3070 8GB GDDR6,Có,Laptop ASUS TUF Gaming FA506QR-AZ003T,Windows 10 Home SL ,0,"Tần số quét 240Hz, Nanoedge, 100% SRGB, màn hình chống chói",2 Loa,0,7,1920 x 1080 pixels (FullHD),HD 720p,35.9 x 25.6 x 2.28 ~ 2.43 cm,"DDR4 3200MHz, 16GB (8GB+8GB), 2 khe",Full HD,2.30 kg,Không, 1 x RJ45 LAN  1 x Type A USB 2.0 1 x Type C USB 3.2 Gen 2 2 x Type A USB 3.2 Gen 1 1 x HDMI 2.0b 1 x 3.5mm Combo Audio Jack ,0,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fa506qr-az003t.html,15.6 inches,Có,4Cell 90WHrs,36.990.000
8GB,"Wifi 802.11ac, 2x2","Intel Core i7-1165G7 (4C / 8T, 2.8 / 4.7GHz, 12MB)",0,Ổ cứng SSD,0,"512GB SSD M.2 2280 PCIe 4.0x4 NVMeOne drive,Hỗ trợ nâng cấp 1TB M.2 2280 SSD",5,27.990.000,Tấm nền IPS,Integrated Intel Iris Xe Graphics,,Laptop Lenovo Yoga Slim 7I 14ITL5,"Windows 10 Home 64, English",0,"300nits Glossy, 100% sRGB",High Definition (HD) Audio,0,13,1080 x 1920 pixels (FullHD),720p + IR + ToF,32.06 (W) x 20.818 (D) x 1.49 (H) cm,8GB Soldered DDR4-3200,Full HD,1.36 kg,Không,1x HDMI 1.4b  1x USB 3.2 Gen 1  1x USB 3.2 Gen 1 (Always On)  2x Thunderbolt 4 / USB4 40Gbp  1x Card reader  1x Headphone,0,,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-14itl5-82a300a6vn.html,14 inches,,60.7Wh,26.490.000
8GB,Wi-Fi 6(802.11ax),"AMD Ryzen 7-4800H, 2.9GHz up to 4.2GHz, 8 nhân 16 luồng",0,"Ổ cứng SSD, Wi-Fi 6",0,512GB M.2 NVMe™ PCIe® 3.0 SSD,v5.1,27.490.000,Tấm nền IPS,NVIDIA® GeForce RTX™ 3050 4GB GDDR6,Có,Laptop ASUS ROG Strix G15 G513IC-HN002T,Windows 10 Home SL ,0,"Tần số quét 144Hz, màn hình chống loá",2 Loa,0,31,1920 x 1080 pixels (FullHD),HD 720p ,35.4 x 25.9 x 2.06 ~ 2.59 cm,"DDR4-3200MHz, 2 khe cắm tối đa 32GB",Full HD,2.10 Kg,Không,1x Type C USB 3.2 Gen 1 with Power Delivery and Display Port 3x USB 3.2 Gen 1 Type-A 1 x HDMI 2.0b 1x 3.5mm Combo Audio Jack,0,,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ic-hn002t.html,15.6 inches,Có,"4-cell, 56WHrs",26.590.000
