P/N,rating,rating_count,comment_count,Brand,Series,price,cpu_brand,cpu_code,RAM,RAM_upgradable,GPU,battery_wh,storage_type,storage_size,storage_upgradable,screen_size,display_resolution,display_rating,screen_technology,weight,length,width,height,OS,surface_material,release_year,hdmi,jack,lan,type_c,usb,sd,keyboard_light
NH.QD9SV.001,5.0,1.0,598.0,Acer,Nitro Gaming AN515-57-74NU/i7-11800H,28499000,Intel,11800H,8,Yes,NVIDIA GeForce RTX 3050Ti 4GB,--,SSD,512,Yes,15.6,1920 x 1080,144,LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
852VN,5.0,1.0,340.0,MSI,Modern 14 B11MOU 852VN i5 1155G7/852VN,18799000,Intel,1155G7,8,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,IPS LCD,1.3,319,219,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P112F001,5.0,1.0,116.0,Dell,Inspiron N3511 i3 1115G4/P112F001ABL,15299000,Intel,1115G4,4,Yes,Intel UHD Graphics,65 W,SSD,256,Yes,15.6,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.73,358.5,258,18.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
V5I3001W,5.0,2.0,788.0,Dell,Vostro V3500 i3 1115G4,15599000,Intel,1115G4,8,Yes,Intel UHD Graphics,45 W,SSD,256,Yes,15.6,1920 x 1080,60,Anti-glare LED-backlit,1.98,368,249,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82H80040VN,5.0,4.0,378.0,Lenovo,IdeaPad Slim 3 15ITL6 i3 1115G4,14999000,Intel,1115G4,8,Yes,Intel UHD Graphics,--,SSD,512,Yes,15.6,1920 x 1080,60,Anti-glare LED-backlit,1.65,359,237.7,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P112F001,5.0,1.0,60.0,Dell,Inspiron N3511 i5 1135G7/P112F001BBL,19999000,Intel,1135G7,4,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,15.6,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.73,358.5,258,18.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82FG00R0VN,5.0,5.0,1244.0,Lenovo,Ideapad Slim 5 15ITL05 i5 1135G7,18799000,Intel,1135G7,16,Yes,Intel Iris Xe Graphics,45 W,SSD,512,Yes,15.6,1920 x 1080,--,"IPS LCD LED Backlit, True Tone",1.66,356.67,233.13,17.9,Windows 10,Kim loại và nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
481VN,5.0,1.0,871.0,MSI,Gaming GF63 Thin 10SC-481VN i7 10750H,22309000,Intel,10750H,8,Yes,NVIDIA GeForce GTX1650 Max Q 4GB,120 W,SSD,512,Yes,15.6,1920 x 1080,144,IPS LCD,1.86,359,254,21.7,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,No
P106F003ASL,5.0,1.0,558.0,Dell,Inspiron N5515 R5 5500U/P106F003ASL,18999000,Intel,5500U,8,Yes,AMD Radeon RX Graphics Vega 7,65 W,SSD,256,Yes,15.6,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.75,356,228,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21A2004BVN,3.0,2.0,177.0,Lenovo,ThinkBook 14 G3 ACL R7 5700U/21A2004BVN,19999000,AMD,5700U,8,Yes,AMD Radeon Graphics,45 W,SSD,512,Yes,14.0,1920 x 1080,60,"IPS LCD LED Backlit, True Tone",1.4,323,217.5,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70253900,5.0,1.0,298.0,Dell,Vostro V3400 i5 1135G7/70253900,18899000,Intel,1135G7,8,Yes,Intel UHD Graphics,45 W,SSD,256,Yes,14.0,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.86,359,254,21.7,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
A515EA-L11970T,5.0,1.0,365.0,Asus,Vivobook A515EA-L11970T/i5-1135G7,19999000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,15.6,1920 x 1080,60,OLED,1.8,359,235,--,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QD9SV.002,5.0,4.0,344.0,Acer,Nitro Gaming AN515-57-57MX/i5-11400H,26124000,Intel,11400H,8,Yes,Nvidia Geforce RTX3050Ti 4GB,--,SSD,512,Yes,15.6,1920 x 1080,144,Acer ComfyView LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
697VN,5.0,1.0,32.0,MSI,Gaming Katana GF66 11UD 697VN i7 11800H,30069000,Intel,11800H,8,Yes,NVIDIA GeForce  GTX 3050 4GB,--,SSD,512,Yes,15.6,1920 x 1080,144,"IPS LCD LED Backlit, True Tone",2.1,359,--,24.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NK,5.0,1.0,65.0,Dell,Inspiron N3502 N4020/NK,10999000,Intel,N4020,4,Yes,Intel UHD Graphics 600,45 W,SSD,128,Yes,15.6,1366 x 768,60,--,1.83,363.96,249,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020,5.0,1.0,146.0,Dell,Inspiron N3505 R5 3450U,17999000,AMD,3450U,8,Yes,AMD Radeon Graphics,45 W,SSD,256,Yes,15.6,1920 x 1080,60,Wide-Viewing Angle (WVA),1.98,363.96,249,18 ~ 19.90,Windows 10,Nhựa,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2021,5.0,1.0,268.0,Dell,Inspiron N3510 Celeron N4020,10999000,Intel,N4020,4,Yes,Intel UHD Graphics 600,65 W,SSD,128,Yes,15.6,1366 x 768,60,LED-backlit,1.65,358.5,235,0.41 ~ 15.6,Windows 10,Nhựa,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2021,5.0,1.0,165.0,Dell,Inspiron N3510 Pentium N5030,11699000,Intel,N5030,4,Yes,Intel UHD Graphics 605,65 W,SSD,128,Yes,15.6,1366 x 768,60,Wide-Viewing Angle (WVA),1.65,358.5,235,18.9,Windows 10,Nhựa,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
286VN,5.0,2.0,214.0,MSI,Gaming GF65 10UE 286VN i5 10500H,28199000,Intel,10500H,16,Yes,NVIDIA GeForce RTX 3060 Max- Q 6GB,180 W,SSD,512,Yes,15.6,1920 x 1080,144,--,1.86,359,254,21.7,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,No
