PN,Name,Price,Price Origin,Screen Size,CPU,RAM,Hard Drive,Graphic Card,Weight,Rating,Rating detail,Rating Count,Comment Count
NH.QD8SV.002,Acer Nitro Gaming AN515-57-51G6/i5-11400H,24699000,25999000,"15.6""",Core i5,8 GB,SSD 512 GB,NVIDIA GeForce RTX3050 4GB,2.2,4,"['5', '1', '2', '0', '0']",8,1743
90NB0SM1-M09060,Asus Zenbook UX425EA-KI429T/i5-1135G7,23199000,23999000,"14.0""",Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.17,5,"['19', '0', '0', '0', '0']",1,1538
4ZR1C39165,Fujitsu CH 9C13A1 i5 1135G7/4ZR1C39165,23999000,25999000,"13.3""",Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,0.995,5,"['1', '0', '0', '0', '0']",1,22
NH.QD8SV.001,Acer Nitro Gaming AN515-57-74RD/i7-11800H,26599000,27999000,"15.6""",Core i7,8 GB,SSD 512 GB,Geforce RTX 3050 4GB,2.2,5,"['2', '0', '0', '0', '0']",2,1004
286VN,MSI Gaming GF65 10UE 286VN i5 10500H,28199000,29699000,"15.6""",Core i5,16 GB,SSD 512 GB,NVIDIA GeForce RTX 3060 Max- Q 6GB,1.86,5,"['1', '1', '0', '0', '0']",2,203
P89F002G3500B,Dell Gaming G3 15 3500B i7 10750H/P89F002G3500B,31039000,31999000,"15.6""",Core i7,16 GB,SSD 512 GB,Nvidia GTX1660Ti 6GB,2.58,3,"['1', '0', '0', '0', '1']",2,188
NH.QD9SV.001,Acer Nitro Gaming AN515-57-74NU/i7-11800H,26999000,29999000,"15.6""",Core i7,8 GB,SSD 512 GB,NVIDIA GeForce RTX 3050Ti 4GB,2.2,5,"['1', '0', '0', '0', '0']",1,466
641VN,MSI Gaming Katana GF66 11UC 641VN i7 11800H,29109000,29999000,"15.6""",Core i7,8 GB,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,2.1,5,"['1', '0', '0', '0', '0']",1,43
481VN,MSI Gaming GF63 Thin 10SC-481VN i7 10750H,22299000,23299000,"15.6""",Core i7,8 GB,SSD 512 GB,NVIDIA GeForce GTX1650 Max Q 4GB,1.86,5,"['1', '0', '0', '0', '0']",1,525
2K0B6PA,HP Envy 13 ba1030TU i7 1165G7/2K0B6PA,29779000,30699000,"13.3""",Core i7,8 GB,SSD 512 GB,Card Onboard,1.25,5,"['1', '0', '0', '0', '0']",1,123
G5 MD-51S1123SH,Gigabyte Gaming G5 MD i5 11400H/51S1123SH,27999000,29999000,"15.6""",Core i5,16 GB,SSD 512 GB,NVIDIA GeForce RTX3050 Ti 4GB,2.2,5,"['1', '0', '0', '0', '0']",1,34
255VN,MSI Gaming Pulse GL66 11UDK 255VN i7 11800H,32979000,33999000,"15.6""",Core i7,16 GB,SSD 512 GB,NVIDIA® GeForce® RTX 3050 Ti 4GB,2.25,5,"['1', '0', '0', '0', '0']",1,70
697VN,MSI Gaming Katana GF66 11UD 697VN i7 11800H,29499000,30999000,"15.6""",Core i7,8 GB,SSD 512 GB,NVIDIA GeForce  GTX 3050 4GB,2.1,5,"['1', '0', '0', '0', '0']",1,19
NH.QBCSV.001,Acer Nitro Gaming AN515-45-R0B6/R7-5800H,31349000,32999000,"15.6""",Ryzen 7,8 GB,SSD 512 GB,GeForce RTX™ 3060 6GB DDR6,2.2,5,"['1', '0', '0', '0', '0']",1,379
UX325EA-KG363T,Asus Zenbook UX325EA-KG363T/i5-1135G7,23299000,24299000,"13.3""",Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.1,5,"['2', '0', '0', '0', '0']",2,618
90NR03U1-M02530,Asus TUF Gaming FX506LH-HN002T/i5-10300H,21339000,21999000,"15.6""",Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB-GDDR6,2.3,5,"['227', '0', '0', '0', '1']",2,2214
82K1004YVN,Lenovo Gaming 3 15IHU6 i5 11300H/82K1004YVN,24299000,25499000,"15.6""",Core i5,8 GB,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,2.25,5,"['1', '0', '0', '0', '0']",1,242
096VN,MSI Gaming Katana GF76 11UC 096VN i7 11800H,29409000,30299000,"17.3""",Core i7,8 GB,SSD 512 GB,NVIDIA® GeForce® RTX3050 4GB,2.6,5,"['1', '0', '0', '0', '0']",1,50
82K100FBVN,Lenovo Gaming 3 15IHU6 i7 11370H/82K100FBVN,27599000,28999000,"15.6""",Core i7,8 GB,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,2.25,5,"['1', '0', '0', '0', '0']",1,41
089VN,MSI Prestige 14EVO A11M-089VN i7-1185G7,28499000,29999000,"14.0""",Core i7,16 GB,SSD 512 GB,Intel Iris Xe Graphics,1.29,5,"['1', '0', '0', '0', '0']",1,71
020VN,MSI Gaming GF63 10SC 020VN i7 10750H,22319000,22999000,"15.6""",Core i7,8 GB,SSD 512 GB,GeForce GTX 1650 Max Q 4GB,1.86,5,"['1', '0', '0', '0', '0']",1,556
90NB0U71-M00460,Asus Vivobook E210KA-GJ031T/N4500,7799000,7799000,"11.6""",Celeron,4 GB,eMMC 128GB,Intel UHD Graphics 600,1.1,4,"['4', '0', '0', '0', '2']",6,936
FX516PE-HN005T,ASUS Gaming TUF FX516PE-HN005T/i7-11370H,27999000,29999000,"15.6""",Core i7,8 GB,SSD 512 GB,Nvidia GeForce RTX3050Ti_4GB,2.072,5,"['3', '0', '0', '0', '0']",3,236
GV301QC-K6052T,Asus FLow Gaming GV301QC-K6052T/R9-5900HX,37999000,39999000,"13.4""",Ryzen 9,16 GB,SSD 512 GB,Nvidia GeForce RTX3050 4GB,1.3,5,"['1', '0', '0', '0', '0']",1,48
90NB0SM1-M09310,Asus Zenbook UX425EA-KI439T/i7-1165G7,29499000,30699000,"14.0""",Core i7,16 GB,SSD 512 GB,Intel Iris Xe graphics,1.17,5,"['1', '0', '0', '0', '0']",1,245
4R0U8PA,HP Gaming VICTUS 16 e0175AX R5 5600H/4R0U8PA,23739000,24499000,"16.1""",Ryzen 5,8 GB,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,2.46,5,"['1', '0', '0', '0', '0']",1,473
036VN,MSI Gaming Alpha 15 B5EEK 036VN R7 5800H/036VN,34999000,36999000,"15.6""",Ryzen 7,16 GB,SSD 512 GB,AMD Radeon RX 6600M 8GB,2.35,5,"['1', '0', '0', '0', '0']",1,22
82L3005FVN,Lenovo Ideapad 5 Pro 14ITL6 i7 1165G7/82L3005FVN,27299000,28699000,"14.0""",Core i7,16 GB,SSD 512 GB,NVIDIA Geforce MX450 2GB,1.41,5,"['1', '0', '0', '0', '0']",1,86
P89F002BWH,Dell Gaming G3 15 i7 10750H,31039000,31999000,"15.6""",Core i7,16 GB,SSD 512 GB,NVIDIA® GeForce® GTX 1660Ti 6GB,2.58,5,"['1', '0', '0', '0', '0']",1,51
P100F001,Dell Gaming G7 15 7500 i7 10750H,37829000,38999000,"15.6""",Core i7,8 GB,SSD 512 GB,NVIDIA® GeForce® GTX 1660Ti 6GB,2.56,5,"['1', '0', '0', '0', '0']",1,17
90NR07P2-M00390,Asus ROG Gaming G513IH-HN015T/R7-4800H,22499000,23499000,"15.6""",Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,2.1,5,"['2', '0', '0', '0', '0']",2,1010
70258049,Dell Gaming G15 5515 R7 5800H/70258049,30049000,30999000,"15.6""",Ryzen 7,8 GB,SSD 512 GB,NVIDIA GeForce GTX 3050 4GB,2.81,5,"['1', '0', '0', '0', '0']",1,52
NH.QC5SV.001,ACER Predator Gaming PH315-54-78W5/i7-11800H,32299000,33999000,"15.6""",Core i7,8 GB,SSD 512 GB,NVIDIA GeForce RTX 3050Ti 4GB,2.3,5,"['1', '0', '0', '0', '0']",1,214
NH.QDQSV.001,Acer Triton Gaming PT315-53-75LQ/i7-11800H,40590000,44990000,"15.6""",Core i7,16 GB,SSD 512 GB,Nvidia Geforce RTX3060 6GB,2.0,5,"['1', '0', '0', '0', '0']",1,38
NX.HS5SV.00F,Acer Aspire 3 A315-56-502X/i5-1035G1,13999000,13999000,"15.6""",Core i5,4 GB,SSD 256 GB,Intel UHD Graphics,1.7,5,"['2', '0', '0', '0', '0']",2,2236
MK1A3SA/A,"MacBook Pro 16"" 2021 M1 Max 1TB",92990000,92990000,"16.2""",M1 Max,32 GB,SSD 1 TB,Apple M1 Max,2.129,5,"['1', '0', '0', '0', '0']",1,3
