,title,price,rating,review_count,cmt_count,cpu_name,cpu_ncores,cpu_nthreads,cpu_basefreq,cpu_turbofreq,cpu_cache,ram_size,ram_type,ram_clock,ram_upgradable,storage,gpu,battery,displ_size,displ_resolution,displ_rate,displ_tech,displ_touchscreen,sound,ports,sd_card,wless_connect,webcam,special,backlight_key,weight_dims,surface,os,launch,url
0,Laptop MSI Katana Gaming GF66 11UC i7 11800H/8GB/512GB/4GB RTX3050/144Hz/Balo/Win10 (224VN),29.990.000₫,3,5 đánh giá,58 bình luận|12 bình luận,Intel Core i7 Tiger Lake|11800H|Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,64 GB,SSD 512 GB NVMe PCIe|Không hỗ trợ khe cắm SSD M2 mở rộng thêm,"Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","3-cell Li-ion, 53 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,LED|Tấm nền IPS,,Nahimic Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB 2.0|USB Type-C,,Bluetooth 5.2|Wi-Fi 6 (802.11ax),HD webcam,,Có,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - Nặng 2.1 kg,Vỏ nhựa,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/msi-gf66-11uc-i7-224vn?src=osp#top-tskt
1,Laptop MSI Gaming Pulse GL66 11UDK i7 11800H/16GB/512GB/4GB RTX3050Ti/144Hz/Balo/Chuột/Win10 (816VN),33.990.000₫,,,10 bình luận|3 bình luận,Intel Core i7 Tiger Lake|11800H|Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)|Không hỗ trợ khe cắm HDD","Card rời|Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","3 cell, 53.5 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,100% sRGB|Chống chói Anti Glare|Công nghệ IPS,,Hi-Res Audio|Nahimic Audio,2 x USB 3.2|HDMI|LAN (RJ45)|USB 2.0|USB Type-C,,Bluetooth 5.2|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 359 mm - Rộng 259 mm - Dày 23.95 mm - Nặng 2.25 kg,Nắp lưng và chiếu nghỉ tay bằng kim loại,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/msi-gaming-pulse-gl66-11udk-i7-816vn?src=osp#top-tskt
2,Laptop Acer Nitro 5 Gaming AN515 57 727J i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Win10 (NH.QD9SV.005.),29.990.000₫,3.6,13 đánh giá,196 bình luận|24 bình luận,Intel Core i7 Tiger Lake|11800H|Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng","Card rời|Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","4-cell Li-ion, 57 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Acer ComfyView|LED Backlit|Tấm nền IPS,,Acer TrueHarmony|DTS X:Ultra Audio,3 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/acer-nitro-gaming-an515-57-727j-i7-nhqd9sv005?src=osp#top-tskt
3,Laptop Acer Nitro 5 Gaming AN515 57 5831 i5 11400H/8GB/512GB/6GB RTX3060/144Hz/Win10 (NH.QDGSV.003),32.990.000₫,,,108 bình luận|11 bình luận,Intel Core i5 Tiger Lake|Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Card rời|NVIDIA GeForce RTX 3060, 6 GB|Card rời - NVIDIA GeForce RTX 3060, 6 GB","4-cell Li-ion, 57.5 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Acer ComfyView|LED Backlit|Tấm nền IPS,,Acer TrueHarmony|DTS X:Ultra Audio,3 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-5831-i5-nhqdgsv003?src=osp#top-tskt
4,Laptop Acer Aspire 7 Gaming A715 42G R6ZR R5 5500U/8GB/512GB/4GB GTX1650/144Hz/Win10 (NH.QAYSV.003),22.490.000₫,4.8,23 đánh giá,316 bình luận|59 bình luận,AMD Ryzen 5|5500U|AMD Ryzen 5 - 5500U,6,12,2.10 GHz,Turbo Boost 4.0 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Không hỗ trợ khe cắm HDD|Không hỗ trợ khe cắm SSD M2 mở rộng thêm|512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card rời|NVIDIA GeForce GTX 1650 4 GB|Card rời - NVIDIA GeForce GTX 1650 4 GB,"Li-ion, 48 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Acer ComfyView|Chống chói Anti Glare|Tấm nền IPS,,Acer TrueHarmony,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB 2.0|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,,Có,Dài 363.4 mm - Rộng 254.5 mm - Dày 22.9 mm - Nặng 2.1 kg,Vỏ nhựa,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-42g-r6zr-r5-nhqaysv003?src=osp#top-tskt
5,Laptop Acer Nitro 5 Gaming AN515 57 720A i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QEQSV.004),30.490.000₫,,,3 bình luận|1 bình luận,Intel Core i7 Tiger Lake|11800H|Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Card rời|Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","4-cell Li-ion, 57.5 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Acer ComfyView|Công nghệ IPS|LED Backlit|TFT,,Acer TrueHarmony|DTS X:Ultra Audio,3 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 11 Home SL,2021,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-720a-i7-nhqeqsv004?src=osp#top-tskt
6,Laptop Gigabyte Gaming G5 i5 10500H/16GB/512GB/6GB RTX3060/144Hz/Win11 (KC-5S11130SB),29.990.000₫,,,6 bình luận|,Intel Core i5 Comet Lake|10500H|Intel Core i5 Comet Lake - 10500H,6,12,2.50 GHz,Turbo Boost 4.5 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Card rời|NVIDIA GeForce RTX 3060, 6 GB|Card rời - NVIDIA GeForce RTX 3060, 6 GB","4-cell Li-ion, 41 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare|Công nghệ IPS,,DTS X:Ultra Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|Mini DisplayPort|USB 2.0|USB Type-C,SD,Bluetooth 5.2|Wi-Fi 6 (802.11ax),HD webcam,,Có,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 11 Home SL,2021,https://www.thegioididong.com/laptop/gigabyte-gaming-g5-i5-kc5s11130sb?src=osp#top-tskt
7,Laptop Acer Nitro 5 Gaming AN515 57 71VV i7 11800H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QENSV.005),28.990.000₫,,,5 bình luận|,Intel Core i7 Tiger Lake|11800H|Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","4-cell Li-ion, 57 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Acer ComfyView|LED Backlit|Tấm nền IPS,,Acer TrueHarmony|DTS X:Ultra Audio,3 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-71vv-i7-nhqensv005?src=osp#top-tskt
8,Laptop MSI Katana GF76 11UC i7 11800H/8GB/512GB/4GB RTX3050/144Hz/Balo/Chuột/Win10 (441VN),29.990.000₫,,,15 bình luận|,Intel Core i7 Tiger Lake|11800H|Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)|Không hỗ trợ khe cắm HDD|Không hỗ trợ khe cắm SSD M2 mở rộng thêm","Card rời|NVIDIA GeForce RTX3050, 4 GB|Card rời - NVIDIA GeForce RTX3050, 4 GB","3-cell Li-ion, 53 Wh",17.3 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare|LED|Tấm nền IPS,,Nahimic Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB 2.0|USB Type-C,,Bluetooth 5.2|Wi-Fi 6 (802.11ax),HD webcam,,Có,Dài 398 mm - Rộng 273 mm - Dày 25.2 mm - Nặng 2.6 kg,Vỏ nhựa,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/msi-katana-gf76-11uc-i7-441vn?src=osp#top-tskt
9,Laptop MSI Gaming Stealth 15M A11UEK i7 11375H/16GB/512GB/6GB RTX3060 Max-Q/144Hz/Balo/Chuột/Win10 (254VN),41.990.000₫,,,2 bình luận|,Intel Core i7 Tiger Lake|Intel Core i7 Tiger Lake - 11375H,4,8,3.30 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)","Card rời|NVIDIA GeForce RTX 3060 Max-Q, 6 GB|Card rời - NVIDIA GeForce RTX 3060 Max-Q, 6 GB","3-cell, 52 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare|Công nghệ IPS,,Hi-Res Audio|Nahimic Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|Thunderbolt 4 USB-C|USB Type-C,Micro SD,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 358.3 mm - Rộng 248 mm - Dày 16.15 mm - Nặng 1.7 kg,Vỏ kim loại,Windows 10 Home SL,2021,https://www.thegioididong.com/laptop/msi-gaming-stealth-15m-a11uek-i7-254vn?src=osp#top-tskt
