url,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_brand,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,screen_technology,Weight,length,width,thickness,OS,Surface,Release_year,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card
https://www.thegioididong.com/laptop/msi-gf66-11uc-i7-224vn?src=osp#top-tskt,224vn,3.0,5,70,msi,katana gaming gf66 11uc 224vn,29990000.0,intel,11800h,8.0,yes,nvidia geforce rtx3050,53.0,512,ssd,no,15.6,1920 x 1080,144,ips,2.1,359.0,259.0,24.9,windows 10,plastic,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/msi-gaming-pulse-gl66-11udk-i7-816vn?src=osp#top-tskt,816vn,0.0,0,13,msi,gaming pulse gl66 11udk 816vn,33990000.0,intel,11800h,16.0,yes,nvidia geforce rtx3050ti,53.5,512,ssd,no,15.6,1920 x 1080,144,ips,2.25,359.0,259.0,23.95,windows 10,metal,2021.0,yes,yes,no,yes,yes,yes,no
https://www.thegioididong.com/laptop/acer-nitro-gaming-an515-57-727j-i7-nhqd9sv005?src=osp#top-tskt,nh.qd9sv.005,3.6,13,220,acer,nitro 5 gaming an515 57 727j nh.qd9sv.005,29990000.0,intel,11800h,8.0,yes,nvidia geforce rtx3050ti,57.0,512,ssd,yes,15.6,1920 x 1080,144,ips,2.2,363.4,255.0,23.9,windows 10,plastic,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-5831-i5-nhqdgsv003?src=osp#top-tskt,nh.qdgsv.003,0.0,0,119,acer,nitro 5 gaming an515 57 5831 nh.qdgsv.003,32990000.0,intel,11400h,8.0,yes,nvidia geforce rtx 3060,57.5,512,ssd,yes,15.6,1920 x 1080,144,ips,2.2,363.4,255.0,23.9,windows 10,plastic,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-42g-r6zr-r5-nhqaysv003?src=osp#top-tskt,nh.qaysv.003,4.8,23,375,acer,aspire 7 gaming a715 42g r6zr nh.qaysv.003,22490000.0,amd,5500u,8.0,yes,nvidia geforce gtx 1650 4 gb,48.0,512,ssd,no,15.6,1920 x 1080,144,ips,2.1,363.4,254.5,22.9,windows 10,plastic,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-720a-i7-nhqeqsv004?src=osp#top-tskt,nh.qeqsv.004,0.0,0,4,acer,nitro 5 gaming an515 57 720a nh.qeqsv.004,30490000.0,intel,11800h,8.0,yes,nvidia geforce rtx3050ti,57.5,512,ssd,yes,15.6,1920 x 1080,144,ips,2.2,363.4,255.0,23.9,windows 11,plastic,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/gigabyte-gaming-g5-i5-kc5s11130sb?src=osp#top-tskt,kc-5s11130sb,0.0,0,6,gigabyte,gaming g5 kc-5s11130sb,29990000.0,intel,10500h,16.0,yes,nvidia geforce rtx 3060,41.0,512,ssd,yes,15.6,1920 x 1080,144,ips,2.2,361.0,258.0,24.9,windows 11,plastic,2021.0,yes,yes,yes,yes,yes,yes,yes
https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-71vv-i7-nhqensv005?src=osp#top-tskt,nh.qensv.005,0.0,0,5,acer,nitro 5 gaming an515 57 71vv nh.qensv.005,28990000.0,intel,11800h,8.0,yes,nvidia geforce rtx3050,57.0,512,ssd,yes,15.6,1920 x 1080,144,ips,2.2,363.4,255.0,23.9,windows 10,plastic,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/msi-katana-gf76-11uc-i7-441vn?src=osp#top-tskt,441vn,0.0,0,15,msi,katana gf76 11uc 441vn,29990000.0,intel,11800h,8.0,yes,nvidia geforce rtx3050,53.0,512,ssd,no,17.3,1920 x 1080,144,ips,2.6,398.0,273.0,25.2,windows 10,plastic,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/msi-gaming-stealth-15m-a11uek-i7-254vn?src=osp#top-tskt,254vn,0.0,0,2,msi,gaming stealth 15m a11uek 254vn,41990000.0,intel,11375h,16.0,yes,nvidia geforce rtx 3060 max-q,52.0,512,ssd,no,15.6,1920 x 1080,144,ips,1.7,358.3,248.0,16.15,windows 10,metal,2021.0,yes,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/gigabyte-gaming-g5-i5-md51s1123sh?src=osp#top-tskt,51s1123sh,5.0,1,14,gigabyte,gaming g5 51s1123sh,29990000.0,intel,11400h,16.0,yes,nvidia geforce rtx3050ti,41.0,512,ssd,yes,15.6,1920 x 1080,144,ips,2.2,361.0,258.0,24.9,windows 10,plastic,2021.0,yes,yes,yes,yes,yes,yes,yes
https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hcb-i5-hn1138w?src=osp#top-tskt,hn1138w,0.0,0,28,asus,tuf gaming fx506hcb hn1138w,25990000.0,intel,11400h,8.0,yes,nvidia geforce rtx3050,48.0,512,ssd,yes,15.6,1920 x 1080,144,ips,2.3,359.0,256.0,24.9,windows 11,"metal, plastic",2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/asus-tuf-gaming-fx516pm-i7-hn002t?src=osp#top-tskt,hn002t,1.0,1,28,asus,tuf gaming fx516pm hn002t,32990000.0,intel,11370h,8.0,yes,nvidia geforce rtx 3060,76.0,512,ssd,yes,15.6,1920 x 1080,144,ips,2.0,360.0,252.0,19.9,windows 10,"metal, plastic",2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/dell-gaming-g15-5515-r5-p105f004cgr?src=osp#top-tskt,p105f004cgr,0.0,0,41,dell,gaming g15 5515 p105f004cgr,24990000.0,amd,5600h,8.0,yes,nvidia geforce rtx3050,56.0,256,ssd,no,15.6,1920 x 1080,120,va,2.8,357.26,272.11,26.9,windows 11,plastic,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/dell-g3-15-i7-p89f002bwh?src=osp#top-tskt,p89f002bwh,2.3,9,154,dell,gaming g3 15 p89f002bwh,31990000.0,intel,10750h,16.0,yes,nvidia geforce gtx 1660ti,68.0,512,ssd,yes,15.6,1920 x 1080,120,va,2.58,364.46,254.0,30.96,windows 10,plastic,2020.0,yes,yes,yes,yes,no,yes,yes
https://www.thegioididong.com/laptop/asus-tuf-gaming-fx516pe-i7-hn005t?src=osp#top-tskt,hn005t,5.0,5,70,asus,tuf gaming fx516pe hn005t,29990000.0,intel,11370h,8.0,yes,nvidia geforce rtx3050ti,76.0,512,ssd,yes,15.6,1920 x 1080,144,ips,2.0,360.0,252.0,19.9,windows 10,"metal, plastic",2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/dell-gaming-g15-5515-r5-p105f004dgr?src=osp#top-tskt,p105f004dgr,0.0,0,8,dell,gaming g15 5515 p105f004dgr,27990000.0,amd,5600h,16.0,yes,nvidia geforce rtx3050,56.0,512,ssd,yes,15.6,1920 x 1080,120,va,2.8,357.26,272.11,26.9,windows 11,plastic,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/msi-gaming-ge66-raider-11uh-i7-259vn?src=osp#top-tskt,259vn,0.0,0,17,msi,gaming ge66 raider 11uh 259vn,77990000.0,intel,11800h,32.0,yes,nvidia geforce rtx 3080,99.9,2,ssd,yes,15.6,2560 x 1440,240,ips,2.38,358.0,267.0,23.4,windows 10,metal,2021.0,yes,yes,yes,yes,yes,yes,yes
https://www.thegioididong.com/laptop/acer-predator-triton-300-pt315-53-71dj-i7?src=osp#top-tskt,nh.qdssv.001,0.0,0,25,acer,predator triton 300 pt315 53 71dj nh.qdssv.001,50990000.0,intel,11800h,16.0,yes,nvidia geforce rtx 3070,59.0,512,ssd,yes,15.6,2560 x 1440,165,ips,2.0,353.0,255.0,19.9,windows 10,metal,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/msi-gaming-gs66-stealth-11ug-i7-219vn?src=osp#top-tskt,219vn,0.0,0,20,msi,gaming gs66 stealth 11ug 219vn,64990000.0,intel,11800h,32.0,yes,nvidia geforce rtx 3070 max-q,99.9,2,ssd,yes,15.6,1920 x 1080,360,ips,2.1,358.3,248.0,19.8,windows 10,metal,2021.0,yes,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/msi-gaming-ge66-raider-11ug-i7-258vn?src=osp#top-tskt,258vn,0.0,0,15,msi,gaming ge66 raider 11ug 258vn,59990000.0,intel,11800h,16.0,yes,nvidia geforce rtx 3070,99.9,2,ssd,yes,15.6,1920 x 1080,360,ips,2.38,358.0,267.0,23.4,windows 10,metal,2021.0,yes,yes,yes,yes,yes,yes,yes
https://www.thegioididong.com/laptop/dell-xps-13-9310-i7-jgnh62?src=osp#top-tskt,jgnh62,0.0,0,17,dell,xps 13 9310 jgnh62,59990000.0,intel,1165g7,16.0,no,intel iris xe graphics,,512,ssd,no,13.4,3840 x 2400,60,,1.27,297.0,207.0,14.35,windows 10,metal,2020.0,yes,no,yes,no,yes,no,yes
